,Price per Unit,Units Sold,Total Sales,Operating Profit,clusters
129,45.0,900.0,405000.0,141750.0,1
130,50.0,825.0,412500.0,144375.0,1
131,50.0,675.0,337500.0,151875.0,1
132,45.0,650.0,292500.0,87750.0,2
133,55.0,850.0,467500.0,233750.0,1
134,45.0,950.0,427500.0,149625.0,1
135,45.0,950.0,427500.0,149625.0,1
136,50.0,850.0,425000.0,148750.0,1
137,50.0,700.0,350000.0,157500.0,1
138,45.0,650.0,292500.0,87750.0,2
139,55.0,900.0,495000.0,247500.0,1
140,40.0,775.0,310000.0,108500.0,2
141,50.0,775.0,387500.0,77500.0,1
142,50.0,775.0,387500.0,135625.0,1
143,50.0,625.0,312500.0,93750.0,2
144,55.0,575.0,316250.0,158125.0,1
145,50.0,775.0,387500.0,58125.0,1
146,40.0,825.0,330000.0,115500.0,1
147,50.0,725.0,362500.0,72500.0,1
148,50.0,725.0,362500.0,126875.0,1
149,50.0,575.0,287500.0,86250.0,2
150,55.0,500.0,275000.0,137500.0,2
151,50.0,700.0,350000.0,52500.0,2
152,50.0,850.0,425000.0,148750.0,1
153,60.0,700.0,420000.0,84000.0,1
154,60.0,700.0,420000.0,147000.0,1
155,60.0,600.0,360000.0,108000.0,1
156,65.0,500.0,325000.0,162500.0,1
157,60.0,700.0,420000.0,63000.0,1
158,60.0,875.0,525000.0,183750.0,1
159,65.0,675.0,438750.0,87750.0,1
160,65.0,725.0,471250.0,164938.0,1
161,60.0,625.0,375000.0,112500.0,1
162,65.0,525.0,341250.0,170625.0,1
163,80.0,700.0,560000.0,84000.0,1
164,60.0,900.0,540000.0,216000.0,1
165,65.0,750.0,487500.0,121875.0,1
166,65.0,750.0,487500.0,195000.0,1
167,60.0,650.0,390000.0,136500.0,1
168,65.0,550.0,357500.0,196625.0,1
169,80.0,725.0,580000.0,116000.0,1
170,60.0,975.0,585000.0,234000.0,1
171,65.0,825.0,536250.0,134063.0,1
172,65.0,825.0,536250.0,214500.0,1
173,60.0,700.0,420000.0,147000.0,1
174,65.0,575.0,373750.0,205563.0,1
175,80.0,875.0,700000.0,140000.0,1
176,60.0,1025.0,615000.0,215250.0,1
177,65.0,875.0,568750.0,113750.0,1
178,65.0,825.0,536250.0,187688.0,1
179,60.0,725.0,435000.0,130500.0,1
180,65.0,775.0,503750.0,251875.0,1
181,80.0,775.0,620000.0,93000.0,1
182,65.0,975.0,633750.0,221813.0,1
183,70.0,925.0,647500.0,129500.0,1
184,65.0,800.0,520000.0,182000.0,1
185,65.0,750.0,487500.0,146250.0,1
186,75.0,750.0,562500.0,281250.0,1
187,80.0,725.0,580000.0,87000.0,1
188,55.0,925.0,508750.0,152625.0,1
189,60.0,925.0,555000.0,83250.0,1
190,55.0,775.0,426250.0,127875.0,1
191,55.0,725.0,398750.0,99688.0,1
192,65.0,725.0,471250.0,212063.0,1
193,70.0,775.0,542500.0,54250.0,1
194,55.0,875.0,481250.0,144375.0,1
195,60.0,875.0,525000.0,78750.0,1
196,55.0,700.0,385000.0,115500.0,1
197,55.0,675.0,371250.0,92813.0,1
198,65.0,650.0,422500.0,190125.0,1
199,70.0,700.0,490000.0,49000.0,1
200,55.0,875.0,481250.0,144375.0,1
201,60.0,875.0,525000.0,78750.0,1
202,55.0,725.0,398750.0,119625.0,1
203,55.0,700.0,385000.0,96250.0,1
204,65.0,650.0,422500.0,190125.0,1
205,70.0,775.0,542500.0,54250.0,1
206,55.0,975.0,536250.0,160875.0,1
207,60.0,975.0,585000.0,87750.0,1
208,55.0,775.0,426250.0,127875.0,1
209,55.0,775.0,426250.0,106563.0,1
210,65.0,700.0,455000.0,204750.0,1
211,70.0,800.0,560000.0,56000.0,1
212,35.0,700.0,245000.0,98000.0,2
213,45.0,700.0,315000.0,78750.0,2
214,45.0,700.0,315000.0,126000.0,2
215,45.0,550.0,247500.0,86625.0,2
216,50.0,500.0,250000.0,137500.0,2
217,45.0,700.0,315000.0,63000.0,2
218,35.0,750.0,262500.0,105000.0,2
219,45.0,650.0,292500.0,73125.0,2
220,45.0,675.0,303750.0,121500.0,2
221,45.0,525.0,236250.0,82688.0,2
222,50.0,450.0,225000.0,123750.0,2
223,45.0,650.0,292500.0,58500.0,2
224,35.0,800.0,280000.0,112000.0,2
225,45.0,650.0,292500.0,73125.0,2
226,45.0,650.0,292500.0,117000.0,2
227,45.0,550.0,247500.0,86625.0,2
228,50.0,425.0,212500.0,116875.0,2
229,45.0,625.0,281250.0,56250.0,2
230,45.0,800.0,360000.0,144000.0,1
231,50.0,600.0,300000.0,75000.0,2
232,50.0,625.0,312500.0,125000.0,2
233,45.0,525.0,236250.0,82688.0,2
234,50.0,425.0,212500.0,116875.0,2
235,65.0,600.0,390000.0,78000.0,1
236,45.0,800.0,360000.0,144000.0,1
237,50.0,650.0,325000.0,81250.0,2
238,50.0,650.0,325000.0,130000.0,1
239,45.0,550.0,247500.0,86625.0,2
240,50.0,450.0,225000.0,123750.0,2
241,65.0,625.0,406250.0,81250.0,1
242,45.0,900.0,405000.0,162000.0,1
243,50.0,750.0,375000.0,93750.0,1
244,50.0,750.0,375000.0,150000.0,1
245,45.0,625.0,281250.0,98438.0,2
246,50.0,500.0,250000.0,137500.0,2
247,65.0,800.0,520000.0,104000.0,1
248,45.0,950.0,427500.0,171000.0,1
249,50.0,800.0,400000.0,100000.0,1
250,50.0,750.0,375000.0,150000.0,1
251,45.0,650.0,292500.0,102375.0,2
252,50.0,700.0,350000.0,192500.0,1
253,65.0,700.0,455000.0,91000.0,1
254,50.0,900.0,450000.0,180000.0,1
255,55.0,850.0,467500.0,116875.0,1
256,50.0,725.0,362500.0,145000.0,1
257,50.0,675.0,337500.0,118125.0,1
258,60.0,675.0,405000.0,222750.0,1
259,65.0,650.0,422500.0,84500.0,1
260,50.0,850.0,425000.0,170000.0,1
261,55.0,850.0,467500.0,116875.0,1
262,50.0,700.0,350000.0,140000.0,1
263,50.0,650.0,325000.0,113750.0,2
264,60.0,650.0,390000.0,214500.0,1
265,65.0,700.0,455000.0,91000.0,1
266,50.0,800.0,400000.0,160000.0,1
267,55.0,800.0,440000.0,110000.0,1
268,50.0,650.0,325000.0,130000.0,1
269,50.0,625.0,312500.0,109375.0,2
270,60.0,600.0,360000.0,198000.0,1
271,65.0,650.0,422500.0,84500.0,1
272,50.0,825.0,412500.0,165000.0,1
273,55.0,825.0,453750.0,113438.0,1
274,50.0,675.0,337500.0,135000.0,1
275,50.0,650.0,325000.0,113750.0,2
276,60.0,600.0,360000.0,198000.0,1
277,65.0,700.0,455000.0,91000.0,1
278,50.0,900.0,450000.0,180000.0,1
279,55.0,900.0,495000.0,123750.0,1
280,50.0,700.0,350000.0,140000.0,1
281,50.0,700.0,350000.0,122500.0,1
282,60.0,625.0,375000.0,206250.0,1
283,65.0,725.0,471250.0,94250.0,1
284,45.0,475.0,213750.0,85500.0,2
285,45.0,275.0,123750.0,43313.0,2
286,35.0,275.0,96250.0,33688.0,0
287,40.0,125.0,50000.0,20000.0,0
288,55.0,175.0,96250.0,33688.0,0
289,45.0,275.0,123750.0,61875.0,2
290,45.0,525.0,236250.0,94500.0,2
291,45.0,175.0,78750.0,27563.0,0
292,35.0,225.0,78750.0,27563.0,0
293,40.0,100.0,40000.0,16000.0,0
294,55.0,175.0,96250.0,33688.0,0
295,45.0,275.0,123750.0,61875.0,2
296,50.0,495.0,247500.0,99000.0,2
297,50.0,200.0,100000.0,35000.0,0
298,40.0,225.0,90000.0,31500.0,0
299,45.0,75.0,33750.0,13500.0,0
300,60.0,125.0,75000.0,26250.0,0
301,50.0,225.0,112500.0,56250.0,2
302,50.0,450.0,225000.0,90000.0,2
303,50.0,150.0,75000.0,26250.0,0
304,40.0,150.0,60000.0,21000.0,0
305,45.0,75.0,33750.0,13500.0,0
306,60.0,100.0,60000.0,21000.0,0
307,50.0,225.0,112500.0,56250.0,2
308,60.0,495.0,297000.0,118800.0,2
309,55.0,200.0,110000.0,38500.0,2
310,50.0,175.0,87500.0,30625.0,0
311,50.0,100.0,50000.0,20000.0,0
312,60.0,125.0,75000.0,26250.0,0
313,65.0,250.0,162500.0,81250.0,2
314,50.0,500.0,250000.0,100000.0,2
315,45.0,250.0,112500.0,39375.0,2
316,40.0,200.0,80000.0,28000.0,0
317,40.0,175.0,70000.0,28000.0,0
318,50.0,175.0,87500.0,30625.0,0
319,55.0,350.0,192500.0,96250.0,2
320,50.0,575.0,287500.0,115000.0,2
321,45.0,325.0,146250.0,51188.0,2
322,40.0,250.0,100000.0,35000.0,0
323,40.0,200.0,80000.0,32000.0,0
324,50.0,225.0,112500.0,39375.0,2
325,55.0,400.0,220000.0,110000.0,2
326,50.0,550.0,275000.0,110000.0,2
327,45.0,325.0,146250.0,51188.0,2
328,40.0,250.0,100000.0,35000.0,0
329,40.0,225.0,90000.0,36000.0,0
330,50.0,200.0,100000.0,35000.0,0
331,55.0,375.0,206250.0,103125.0,2
332,50.0,500.0,250000.0,100000.0,2
333,45.0,300.0,135000.0,47250.0,2
334,40.0,200.0,80000.0,28000.0,0
335,40.0,175.0,70000.0,28000.0,0
336,50.0,175.0,87500.0,30625.0,0
337,55.0,250.0,137500.0,68750.0,2
338,60.0,425.0,255000.0,102000.0,2
339,50.0,250.0,125000.0,43750.0,2
340,50.0,150.0,75000.0,26250.0,0
341,50.0,125.0,62500.0,25000.0,0
342,60.0,125.0,75000.0,26250.0,0
343,65.0,250.0,162500.0,81250.0,2
344,60.0,400.0,240000.0,96000.0,2
345,50.0,250.0,125000.0,43750.0,2
346,50.0,195.0,97500.0,34125.0,0
347,50.0,175.0,87500.0,35000.0,0
348,60.0,150.0,90000.0,31500.0,0
349,65.0,250.0,162500.0,81250.0,2
350,60.0,500.0,300000.0,120000.0,2
351,50.0,300.0,150000.0,52500.0,2
352,50.0,250.0,125000.0,43750.0,2
353,50.0,200.0,100000.0,40000.0,0
354,60.0,200.0,120000.0,42000.0,2
355,65.0,300.0,195000.0,97500.0,2
356,20.0,725.0,145000.0,43500.0,2
357,30.0,725.0,217500.0,65250.0,2
358,30.0,525.0,157500.0,47250.0,2
359,35.0,525.0,183750.0,73500.0,2
360,40.0,375.0,150000.0,37500.0,2
361,35.0,525.0,183750.0,82688.0,2
362,25.0,675.0,168750.0,50625.0,2
363,35.0,650.0,227500.0,68250.0,2
364,35.0,475.0,166250.0,49875.0,2
365,35.0,425.0,148750.0,59500.0,2
366,40.0,300.0,120000.0,30000.0,2
367,35.0,500.0,175000.0,78750.0,2
368,30.0,675.0,202500.0,70875.0,2
369,40.0,675.0,270000.0,94500.0,2
370,30.0,500.0,150000.0,52500.0,2
371,35.0,400.0,140000.0,63000.0,2
372,40.0,300.0,120000.0,36000.0,2
373,35.0,450.0,157500.0,78750.0,2
374,20.0,700.0,140000.0,49000.0,2
375,30.0,700.0,210000.0,73500.0,2
376,25.0,525.0,131250.0,45938.0,2
377,30.0,425.0,127500.0,57375.0,2
378,35.0,325.0,113750.0,34125.0,2
379,30.0,600.0,180000.0,90000.0,2
380,20.0,750.0,150000.0,52500.0,2
381,30.0,775.0,232500.0,81375.0,2
382,25.0,625.0,156250.0,54688.0,2
383,35.0,550.0,192500.0,86625.0,2
384,50.0,450.0,225000.0,67500.0,2
385,45.0,800.0,360000.0,180000.0,1
386,45.0,800.0,360000.0,126000.0,1
387,50.0,800.0,400000.0,140000.0,1
388,45.0,650.0,292500.0,102375.0,2
389,45.0,600.0,270000.0,121500.0,2
390,50.0,500.0,250000.0,75000.0,2
391,55.0,875.0,481250.0,240625.0,1
392,45.0,825.0,371250.0,148500.0,1
393,50.0,825.0,412500.0,165000.0,1
394,45.0,975.0,438750.0,175500.0,1
395,45.0,575.0,258750.0,129375.0,2
396,50.0,575.0,287500.0,100625.0,2
397,60.0,850.0,510000.0,280500.0,1
398,50.0,800.0,400000.0,160000.0,1
399,55.0,800.0,440000.0,176000.0,1
400,50.0,975.0,487500.0,195000.0,1
401,50.0,525.0,262500.0,131250.0,2
402,55.0,525.0,288750.0,101063.0,2
403,60.0,775.0,465000.0,255750.0,1
404,55.0,725.0,398750.0,159500.0,1
405,55.0,675.0,371250.0,148500.0,1
406,60.0,725.0,435000.0,174000.0,1
407,60.0,450.0,270000.0,135000.0,2
408,55.0,450.0,247500.0,86625.0,2
409,50.0,675.0,337500.0,185625.0,1
410,40.0,625.0,250000.0,100000.0,2
411,40.0,625.0,250000.0,100000.0,2
412,45.0,575.0,258750.0,103500.0,2
413,45.0,425.0,191250.0,95625.0,2
414,40.0,400.0,160000.0,56000.0,2
415,50.0,575.0,287500.0,158125.0,2
416,40.0,725.0,290000.0,116000.0,2
417,40.0,725.0,290000.0,116000.0,2
418,65.0,650.0,422500.0,169000.0,1
419,65.0,500.0,325000.0,162500.0,1
420,60.0,475.0,285000.0,99750.0,2
421,70.0,675.0,472500.0,259875.0,1
422,60.0,825.0,495000.0,198000.0,1
423,60.0,825.0,495000.0,198000.0,1
424,65.0,725.0,471250.0,188500.0,1
425,65.0,575.0,373750.0,186875.0,1
426,60.0,525.0,315000.0,110250.0,2
427,70.0,775.0,542500.0,298375.0,1
428,45.0,425.0,191250.0,105188.0,2
429,45.0,225.0,101250.0,35438.0,0
430,35.0,225.0,78750.0,31500.0,0
431,40.0,75.0,30000.0,12000.0,0
432,55.0,125.0,68750.0,24063.0,0
433,45.0,225.0,101250.0,30375.0,0
434,45.0,475.0,213750.0,117563.0,2
435,45.0,125.0,56250.0,19688.0,0
436,35.0,175.0,61250.0,24500.0,0
437,40.0,50.0,20000.0,8000.0,0
438,55.0,125.0,68750.0,24063.0,0
439,45.0,225.0,101250.0,30375.0,0
440,50.0,445.0,222500.0,122375.0,2
441,50.0,150.0,75000.0,26250.0,0
442,40.0,175.0,70000.0,28000.0,0
443,45.0,25.0,11250.0,4500.0,0
444,60.0,75.0,45000.0,13500.0,0
445,50.0,175.0,87500.0,21875.0,0
446,50.0,450.0,225000.0,112500.0,2
447,50.0,150.0,75000.0,22500.0,0
448,40.0,150.0,60000.0,21000.0,0
449,45.0,75.0,33750.0,11813.0,0
450,60.0,75.0,45000.0,13500.0,0
451,50.0,200.0,100000.0,25000.0,0
452,60.0,470.0,282000.0,141000.0,2
453,60.0,175.0,105000.0,31500.0,0
454,55.0,150.0,82500.0,28875.0,0
455,55.0,100.0,55000.0,19250.0,0
456,65.0,125.0,81250.0,24375.0,0
457,70.0,250.0,175000.0,52500.0,2
458,65.0,500.0,325000.0,178750.0,1
459,60.0,250.0,150000.0,52500.0,2
460,55.0,175.0,96250.0,38500.0,0
461,55.0,150.0,82500.0,33000.0,0
462,65.0,150.0,97500.0,34125.0,0
463,70.0,300.0,210000.0,63000.0,2
464,65.0,500.0,325000.0,178750.0,1
465,60.0,300.0,180000.0,63000.0,2
466,55.0,225.0,123750.0,49500.0,2
467,55.0,175.0,96250.0,38500.0,0
468,65.0,200.0,130000.0,45500.0,2
469,70.0,375.0,262500.0,78750.0,2
470,65.0,525.0,341250.0,187688.0,1
471,60.0,300.0,180000.0,63000.0,2
472,55.0,225.0,123750.0,49500.0,2
473,55.0,200.0,110000.0,44000.0,2
474,65.0,175.0,113750.0,39813.0,2
475,70.0,350.0,245000.0,73500.0,2
476,65.0,475.0,308750.0,154375.0,2
477,50.0,275.0,137500.0,41250.0,2
478,45.0,200.0,90000.0,31500.0,0
479,45.0,175.0,78750.0,27563.0,0
480,55.0,125.0,68750.0,20625.0,0
481,60.0,225.0,135000.0,33750.0,2
482,60.0,400.0,240000.0,120000.0,2
483,50.0,225.0,112500.0,33750.0,2
484,50.0,125.0,62500.0,21875.0,0
485,50.0,100.0,50000.0,17500.0,0
486,60.0,100.0,60000.0,18000.0,0
487,65.0,225.0,146250.0,36563.0,2
488,70.0,375.0,262500.0,144375.0,2
489,60.0,200.0,120000.0,42000.0,2
490,60.0,195.0,117000.0,46800.0,2
491,60.0,175.0,105000.0,42000.0,0
492,70.0,150.0,105000.0,36750.0,0
493,75.0,250.0,187500.0,56250.0,2
494,70.0,475.0,332500.0,182875.0,1
495,60.0,275.0,165000.0,57750.0,2
496,60.0,225.0,135000.0,54000.0,2
497,60.0,175.0,105000.0,42000.0,0
498,70.0,175.0,122500.0,42875.0,2
499,75.0,275.0,206250.0,61875.0,2
500,35.0,450.0,157500.0,63000.0,2
501,45.0,450.0,202500.0,50625.0,2
502,45.0,450.0,202500.0,81000.0,2
503,45.0,300.0,135000.0,47250.0,2
504,50.0,250.0,125000.0,68750.0,2
505,45.0,475.0,213750.0,42750.0,2
506,35.0,525.0,183750.0,73500.0,2
507,45.0,425.0,191250.0,47813.0,2
508,45.0,425.0,191250.0,76500.0,2
509,45.0,275.0,123750.0,43313.0,2
510,50.0,200.0,100000.0,55000.0,0
511,45.0,400.0,180000.0,36000.0,2
512,45.0,550.0,247500.0,99000.0,2
513,55.0,400.0,220000.0,55000.0,2
514,55.0,400.0,220000.0,88000.0,2
515,55.0,300.0,165000.0,57750.0,2
516,60.0,175.0,105000.0,57750.0,2
517,55.0,375.0,206250.0,41250.0,2
518,60.0,550.0,330000.0,132000.0,1
519,65.0,350.0,227500.0,56875.0,2
520,65.0,400.0,260000.0,104000.0,2
521,60.0,300.0,180000.0,63000.0,2
522,65.0,200.0,130000.0,71500.0,2
523,80.0,350.0,280000.0,56000.0,2
524,60.0,550.0,330000.0,148500.0,1
525,65.0,400.0,260000.0,78000.0,2
526,65.0,400.0,260000.0,117000.0,2
527,60.0,300.0,180000.0,72000.0,2
528,65.0,200.0,130000.0,78000.0,2
529,80.0,450.0,360000.0,90000.0,1
530,60.0,700.0,420000.0,189000.0,1
531,65.0,550.0,357500.0,107250.0,1
532,65.0,550.0,357500.0,160875.0,1
533,60.0,425.0,255000.0,102000.0,2
534,65.0,300.0,195000.0,117000.0,2
535,80.0,600.0,480000.0,120000.0,1
536,60.0,750.0,450000.0,180000.0,1
537,65.0,600.0,390000.0,97500.0,1
538,65.0,550.0,357500.0,143000.0,1
539,60.0,450.0,270000.0,94500.0,2
540,65.0,500.0,325000.0,178750.0,1
541,80.0,500.0,400000.0,80000.0,1
542,65.0,700.0,455000.0,182000.0,1
543,70.0,650.0,455000.0,113750.0,1
544,65.0,525.0,341250.0,136500.0,1
545,65.0,475.0,308750.0,108063.0,2
546,75.0,475.0,356250.0,195938.0,1
547,80.0,400.0,320000.0,64000.0,2
548,60.0,600.0,360000.0,126000.0,1
549,65.0,600.0,390000.0,78000.0,1
550,60.0,450.0,270000.0,94500.0,2
551,60.0,400.0,240000.0,72000.0,2
552,70.0,400.0,280000.0,140000.0,2
553,75.0,450.0,337500.0,50625.0,2
554,60.0,550.0,330000.0,115500.0,1
555,65.0,550.0,357500.0,71500.0,1
556,60.0,375.0,225000.0,78750.0,2
557,60.0,350.0,210000.0,63000.0,2
558,70.0,325.0,227500.0,113750.0,2
559,75.0,375.0,281250.0,42188.0,2
560,60.0,575.0,345000.0,120750.0,1
561,65.0,575.0,373750.0,74750.0,1
562,60.0,425.0,255000.0,89250.0,2
563,60.0,400.0,240000.0,72000.0,2
564,70.0,350.0,245000.0,122500.0,2
565,75.0,475.0,356250.0,53438.0,1
566,60.0,675.0,405000.0,141750.0,1
567,65.0,675.0,438750.0,87750.0,1
568,60.0,475.0,285000.0,99750.0,2
569,60.0,475.0,285000.0,85500.0,2
570,70.0,400.0,280000.0,140000.0,2
571,75.0,500.0,375000.0,56250.0,1
572,30.0,425.0,127500.0,44625.0,2
573,40.0,425.0,170000.0,34000.0,2
574,40.0,425.0,170000.0,59500.0,2
575,40.0,275.0,110000.0,33000.0,0
576,45.0,225.0,101250.0,50625.0,0
577,40.0,475.0,190000.0,28500.0,2
578,30.0,525.0,157500.0,55125.0,2
579,40.0,425.0,170000.0,34000.0,2
580,40.0,425.0,170000.0,59500.0,2
581,40.0,275.0,110000.0,33000.0,0
582,45.0,200.0,90000.0,45000.0,0
583,40.0,400.0,160000.0,24000.0,2
584,40.0,550.0,220000.0,77000.0,2
585,50.0,400.0,200000.0,40000.0,2
586,55.0,400.0,220000.0,77000.0,2
587,55.0,300.0,165000.0,49500.0,2
588,60.0,150.0,90000.0,45000.0,0
589,55.0,350.0,192500.0,28875.0,2
590,60.0,525.0,315000.0,110250.0,2
591,65.0,325.0,211250.0,42250.0,2
592,65.0,375.0,243750.0,85313.0,2
593,60.0,275.0,165000.0,49500.0,2
594,65.0,175.0,113750.0,56875.0,2
595,80.0,325.0,260000.0,39000.0,2
596,60.0,525.0,315000.0,157500.0,1
597,65.0,375.0,243750.0,85313.0,2
598,65.0,375.0,243750.0,121875.0,2
599,60.0,275.0,165000.0,74250.0,2
600,65.0,175.0,113750.0,73938.0,2
601,80.0,475.0,380000.0,114000.0,1
602,60.0,725.0,435000.0,217500.0,1
603,65.0,575.0,373750.0,130813.0,1
604,65.0,575.0,373750.0,186875.0,1
605,65.0,450.0,292500.0,131625.0,2
606,70.0,325.0,227500.0,147875.0,2
607,85.0,625.0,531250.0,159375.0,1
608,65.0,775.0,503750.0,226688.0,1
609,70.0,625.0,437500.0,131250.0,1
610,70.0,575.0,402500.0,181125.0,1
611,65.0,475.0,308750.0,123500.0,2
612,70.0,525.0,367500.0,220500.0,1
613,85.0,525.0,446250.0,111563.0,1
614,70.0,725.0,507500.0,228375.0,1
615,75.0,675.0,506250.0,151875.0,1
616,70.0,550.0,385000.0,173250.0,1
617,70.0,500.0,350000.0,140000.0,1
618,75.0,500.0,375000.0,225000.0,1
619,80.0,400.0,320000.0,80000.0,2
620,65.0,600.0,390000.0,156000.0,1
621,70.0,600.0,420000.0,105000.0,1
622,65.0,450.0,292500.0,117000.0,2
623,65.0,400.0,260000.0,91000.0,2
624,75.0,400.0,300000.0,165000.0,2
625,70.0,425.0,297500.0,59500.0,2
626,55.0,525.0,288750.0,115500.0,2
627,60.0,525.0,315000.0,78750.0,2
628,55.0,350.0,192500.0,77000.0,2
629,55.0,325.0,178750.0,62563.0,2
630,65.0,300.0,195000.0,107250.0,2
631,70.0,350.0,245000.0,49000.0,2
