,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
27,2/9/20,Northeast,New York,New York,Women's Athletic Footwear,50.0,850.0,425000.0,148750.0,Outlet
28,2/10/20,Northeast,New York,New York,Men's Apparel,60.0,875.0,525000.0,157500.0,Outlet
29,3/3/20,Northeast,New York,New York,Women's Apparel,65.0,1000.0,650000.0,162500.0,Outlet
30,3/4/20,Northeast,New York,New York,Men's Street Footwear,60.0,1250.0,750000.0,375000.0,Outlet
31,3/5/20,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000.0,550000.0,165000.0,Outlet
32,3/6/20,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,462500.0,161875.0,Outlet
33,3/7/20,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,450000.0,157500.0,Outlet
34,3/8/20,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,Outlet
35,3/9/20,Northeast,New York,New York,Women's Apparel,65.0,1050.0,682500.0,170625.0,Outlet
36,3/10/20,Northeast,New York,New York,Men's Street Footwear,60.0,1275.0,765000.0,382500.0,Outlet
37,3/11/20,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025.0,563750.0,169125.0,Outlet
38,3/12/20,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,475000.0,166250.0,Outlet
39,3/13/20,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,450000.0,157500.0,Outlet
40,3/14/20,Northeast,New York,New York,Men's Apparel,60.0,925.0,555000.0,166500.0,Outlet
41,3/15/20,Northeast,New York,New York,Women's Apparel,65.0,1100.0,715000.0,178750.0,Outlet
42,3/16/20,Northeast,New York,New York,Men's Street Footwear,60.0,1250.0,750000.0,375000.0,Outlet
43,3/17/20,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025.0,563750.0,169125.0,Outlet
44,3/18/20,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,475000.0,166250.0,Outlet
45,3/31/20,Northeast,New York,New York,Women's Athletic Footwear,50.0,925.0,462500.0,161875.0,Outlet
46,4/17/20,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,Outlet
47,4/18/20,Northeast,New York,New York,Women's Apparel,65.0,1075.0,698750.0,174688.0,Outlet
48,4/19/20,Northeast,New York,New York,Men's Street Footwear,60.0,1200.0,720000.0,360000.0,Outlet
49,4/20/20,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000.0,550000.0,165000.0,Outlet
50,4/21/20,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,462500.0,161875.0,Outlet
51,4/22/20,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,450000.0,157500.0,Outlet
52,4/23/20,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,Outlet
53,4/24/20,Northeast,New York,New York,Women's Apparel,65.0,1000.0,650000.0,162500.0,Outlet
54,4/25/20,Northeast,New York,New York,Men's Apparel,65.0,875.0,568750.0,170625.0,Outlet
55,4/26/20,Northeast,New York,New York,Women's Apparel,70.0,1000.0,700000.0,175000.0,Outlet
56,4/27/20,Northeast,New York,New York,Men's Street Footwear,65.0,1150.0,747500.0,373750.0,Outlet
57,4/28/20,Northeast,New York,New York,Men's Athletic Footwear,55.0,975.0,536250.0,160875.0,Outlet
58,4/29/20,Northeast,New York,New York,Women's Street Footwear,55.0,920.0,506000.0,177100.0,Outlet
59,4/30/20,Northeast,New York,New York,Women's Athletic Footwear,55.0,900.0,495000.0,173250.0,Outlet
60,5/1/20,Northeast,New York,New York,Men's Apparel,65.0,875.0,568750.0,170625.0,Outlet
61,5/2/20,Northeast,New York,New York,Women's Apparel,70.0,975.0,682500.0,170625.0,Outlet
62,5/3/20,Northeast,New York,New York,Men's Street Footwear,65.0,1200.0,780000.0,390000.0,Outlet
63,5/4/20,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000.0,550000.0,165000.0,Outlet
64,5/5/20,Northeast,New York,New York,Women's Street Footwear,55.0,950.0,522500.0,182875.0,Outlet
65,5/6/20,Northeast,New York,New York,Women's Athletic Footwear,55.0,900.0,495000.0,173250.0,Outlet
66,5/7/20,Northeast,New York,New York,Men's Apparel,65.0,900.0,585000.0,175500.0,Outlet
67,7/18/20,Northeast,New York,New York,Women's Apparel,70.0,1000.0,700000.0,175000.0,Outlet
68,7/19/20,Northeast,New York,New York,Men's Street Footwear,25.0,900.0,225000.0,78750.0,Outlet
69,7/20/20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900.0,315000.0,110250.0,Outlet
70,7/21/20,Northeast,New York,New York,Women's Street Footwear,35.0,700.0,245000.0,85750.0,Outlet
71,7/22/20,Northeast,New York,New York,Women's Athletic Footwear,35.0,700.0,245000.0,110250.0,Outlet
72,7/23/20,South,Texas,Houston,Men's Apparel,40.0,550.0,220000.0,66000.0,Outlet
73,7/24/20,South,Texas,Houston,Women's Apparel,35.0,700.0,245000.0,122500.0,Outlet
74,7/25/20,South,Texas,Houston,Men's Street Footwear,25.0,850.0,212500.0,74375.0,Outlet
75,7/26/20,South,Texas,Houston,Men's Athletic Footwear,35.0,850.0,297500.0,104125.0,Outlet
76,7/27/20,South,Texas,Houston,Women's Street Footwear,35.0,675.0,236250.0,82688.0,Outlet
77,7/28/20,South,Texas,Houston,Women's Athletic Footwear,35.0,625.0,218750.0,98438.0,Outlet
78,7/29/20,South,Texas,Houston,Men's Apparel,40.0,500.0,200000.0,60000.0,Outlet
79,7/30/20,South,Texas,Houston,Women's Apparel,35.0,700.0,245000.0,122500.0,Outlet
80,7/31/20,South,Texas,Houston,Men's Street Footwear,30.0,875.0,262500.0,91875.0,Outlet
81,8/1/20,South,Texas,Houston,Men's Athletic Footwear,40.0,875.0,350000.0,122500.0,Outlet
82,8/2/20,South,Texas,Houston,Women's Street Footwear,35.0,700.0,245000.0,85750.0,Outlet
83,8/3/20,South,Texas,Houston,Women's Athletic Footwear,40.0,600.0,240000.0,108000.0,Outlet
84,8/4/20,South,Texas,Houston,Men's Apparel,45.0,500.0,225000.0,67500.0,Outlet
85,8/5/20,South,Texas,Houston,Women's Apparel,40.0,650.0,260000.0,130000.0,Outlet
86,8/6/20,South,Texas,Houston,Men's Street Footwear,30.0,900.0,270000.0,94500.0,Outlet
87,8/7/20,South,Texas,Houston,Men's Athletic Footwear,40.0,900.0,360000.0,126000.0,Outlet
88,8/8/20,South,Texas,Houston,Women's Street Footwear,35.0,725.0,253750.0,88813.0,Outlet
89,8/9/20,South,Texas,Houston,Women's Athletic Footwear,40.0,625.0,250000.0,112500.0,Outlet
90,8/10/20,South,Texas,Houston,Men's Apparel,45.0,525.0,236250.0,70875.0,Outlet
91,8/11/20,South,Texas,Houston,Women's Apparel,40.0,800.0,320000.0,160000.0,Outlet
92,8/12/20,South,Texas,Houston,Men's Street Footwear,30.0,925.0,277500.0,97125.0,Outlet
93,8/13/20,South,Texas,Houston,Men's Athletic Footwear,40.0,925.0,370000.0,129500.0,Outlet
94,8/14/20,South,Texas,Houston,Women's Street Footwear,35.0,775.0,271250.0,94938.0,Outlet
95,8/15/20,South,Texas,Houston,Women's Athletic Footwear,40.0,700.0,280000.0,126000.0,Outlet
96,8/16/20,South,Texas,Houston,Men's Apparel,45.0,600.0,270000.0,81000.0,Outlet
97,8/17/20,South,Texas,Houston,Women's Apparel,40.0,950.0,380000.0,190000.0,Outlet
98,8/18/20,South,Texas,Houston,Men's Street Footwear,40.0,950.0,380000.0,133000.0,Outlet
99,8/19/20,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,427500.0,149625.0,Outlet
100,8/20/20,South,Texas,Houston,Women's Street Footwear,40.0,800.0,320000.0,112000.0,Outlet
101,8/21/20,South,Texas,Houston,Women's Athletic Footwear,40.0,750.0,300000.0,135000.0,Outlet
102,8/22/20,South,Texas,Houston,Men's Apparel,45.0,650.0,292500.0,87750.0,Outlet
103,8/23/20,South,Texas,Houston,Women's Apparel,50.0,1000.0,500000.0,250000.0,Outlet
104,8/24/20,South,Texas,Houston,Men's Street Footwear,40.0,950.0,380000.0,133000.0,Outlet
105,8/25/20,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,427500.0,149625.0,Outlet
106,8/26/20,South,Texas,Houston,Women's Street Footwear,40.0,1100.0,440000.0,154000.0,Outlet
107,8/27/20,South,Texas,Houston,Women's Athletic Footwear,40.0,700.0,280000.0,126000.0,Outlet
108,8/28/20,South,Texas,Houston,Men's Apparel,45.0,700.0,315000.0,94500.0,Outlet
109,8/29/20,South,Texas,Houston,Women's Apparel,50.0,975.0,487500.0,243750.0,Outlet
110,8/30/20,South,Texas,Houston,Men's Street Footwear,40.0,925.0,370000.0,129500.0,Outlet
111,8/31/20,South,Texas,Houston,Men's Athletic Footwear,45.0,925.0,416250.0,145688.0,Outlet
112,9/1/20,South,Texas,Houston,Women's Street Footwear,40.0,1100.0,440000.0,154000.0,Outlet
113,9/2/20,South,Texas,Houston,Women's Athletic Footwear,40.0,650.0,260000.0,117000.0,Outlet
114,9/3/20,South,Texas,Houston,Men's Apparel,45.0,650.0,292500.0,87750.0,Outlet
115,9/4/20,South,Texas,Houston,Women's Apparel,50.0,900.0,450000.0,225000.0,Outlet
116,9/5/20,South,Texas,Houston,Men's Street Footwear,45.0,850.0,382500.0,133875.0,Outlet
117,9/6/20,South,Texas,Houston,Men's Athletic Footwear,45.0,850.0,382500.0,133875.0,Outlet
118,9/7/20,South,Texas,Houston,Women's Street Footwear,50.0,900.0,450000.0,157500.0,Outlet
119,9/8/20,South,Texas,Houston,Women's Athletic Footwear,50.0,625.0,312500.0,140625.0,Outlet
120,9/9/20,South,Texas,Houston,Men's Apparel,45.0,625.0,281250.0,84375.0,Outlet
121,9/10/20,South,Texas,Houston,Women's Apparel,55.0,850.0,467500.0,233750.0,Outlet
122,9/11/20,South,Texas,Houston,Men's Street Footwear,45.0,800.0,360000.0,126000.0,Outlet
123,9/12/20,South,Texas,Houston,Men's Athletic Footwear,45.0,800.0,360000.0,126000.0,Outlet
124,9/13/20,South,Texas,Houston,Women's Street Footwear,50.0,750.0,375000.0,131250.0,Outlet
125,9/14/20,South,Texas,Houston,Women's Athletic Footwear,50.0,600.0,300000.0,135000.0,Outlet
126,9/15/20,South,Texas,Houston,Men's Apparel,45.0,575.0,258750.0,77625.0,Outlet
127,9/16/20,South,Texas,Houston,Women's Apparel,55.0,750.0,412500.0,206250.0,Outlet
128,10/20/20,South,Texas,Houston,Men's Street Footwear,45.0,900.0,405000.0,141750.0,Outlet
129,10/21/20,South,Texas,Houston,Men's Athletic Footwear,45.0,900.0,405000.0,141750.0,Outlet
130,10/22/20,South,Texas,Houston,Women's Street Footwear,50.0,825.0,412500.0,144375.0,Outlet
131,10/23/20,South,Texas,Houston,Women's Athletic Footwear,50.0,675.0,337500.0,151875.0,Outlet
132,10/24/20,South,Texas,Houston,Men's Apparel,45.0,650.0,292500.0,87750.0,Outlet
133,10/25/20,South,Texas,Houston,Women's Apparel,55.0,850.0,467500.0,233750.0,Outlet
134,10/26/20,South,Texas,Houston,Men's Street Footwear,45.0,950.0,427500.0,149625.0,Outlet
135,10/27/20,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,427500.0,149625.0,Outlet
136,10/28/20,South,Texas,Houston,Women's Street Footwear,50.0,850.0,425000.0,148750.0,Outlet
137,10/29/20,South,Texas,Houston,Women's Athletic Footwear,50.0,700.0,350000.0,157500.0,Outlet
138,10/30/20,South,Texas,Houston,Men's Apparel,45.0,650.0,292500.0,87750.0,Outlet
139,10/31/20,South,Texas,Houston,Women's Apparel,55.0,900.0,495000.0,247500.0,Outlet
140,11/1/20,South,Texas,Houston,Men's Street Footwear,40.0,775.0,310000.0,108500.0,Outlet
141,11/2/20,South,Texas,Houston,Men's Athletic Footwear,50.0,775.0,387500.0,77500.0,Outlet
142,11/3/20,South,Texas,Houston,Women's Street Footwear,50.0,775.0,387500.0,135625.0,Outlet
143,11/4/20,South,Texas,Houston,Women's Athletic Footwear,50.0,625.0,312500.0,93750.0,Outlet
144,11/5/20,West,California,San Francisco,Men's Apparel,55.0,575.0,316250.0,158125.0,Outlet
145,11/6/20,West,California,San Francisco,Women's Apparel,50.0,775.0,387500.0,58125.0,Outlet
146,11/7/20,West,California,San Francisco,Men's Street Footwear,40.0,825.0,330000.0,115500.0,Outlet
147,11/8/20,West,California,San Francisco,Men's Athletic Footwear,50.0,725.0,362500.0,72500.0,Outlet
148,11/9/20,West,California,San Francisco,Women's Street Footwear,50.0,725.0,362500.0,126875.0,Outlet
149,11/10/20,West,California,San Francisco,Women's Athletic Footwear,50.0,575.0,287500.0,86250.0,Outlet
150,11/11/20,West,California,San Francisco,Men's Apparel,55.0,500.0,275000.0,137500.0,Outlet
151,11/12/20,West,California,San Francisco,Women's Apparel,50.0,700.0,350000.0,52500.0,Outlet
152,11/13/20,West,California,San Francisco,Men's Street Footwear,50.0,850.0,425000.0,148750.0,Outlet
153,11/14/20,West,California,San Francisco,Men's Athletic Footwear,60.0,700.0,420000.0,84000.0,Outlet
154,11/15/20,West,California,San Francisco,Women's Street Footwear,60.0,700.0,420000.0,147000.0,Outlet
155,12/22/20,West,California,San Francisco,Women's Athletic Footwear,60.0,600.0,360000.0,108000.0,Outlet
156,12/23/20,West,California,San Francisco,Men's Apparel,65.0,500.0,325000.0,162500.0,Outlet
157,12/24/20,West,California,San Francisco,Women's Apparel,60.0,700.0,420000.0,63000.0,Outlet
158,12/25/20,West,California,San Francisco,Men's Street Footwear,60.0,875.0,525000.0,183750.0,Outlet
159,12/26/20,West,California,San Francisco,Men's Athletic Footwear,65.0,675.0,438750.0,87750.0,Outlet
160,12/27/20,West,California,San Francisco,Women's Street Footwear,65.0,725.0,471250.0,164938.0,Outlet
161,12/28/20,West,California,San Francisco,Women's Athletic Footwear,60.0,625.0,375000.0,112500.0,Outlet
162,12/29/20,West,California,San Francisco,Men's Apparel,65.0,525.0,341250.0,170625.0,Outlet
163,12/30/20,West,California,San Francisco,Women's Apparel,80.0,700.0,560000.0,84000.0,Outlet
164,12/31/20,West,California,San Francisco,Men's Street Footwear,60.0,900.0,540000.0,216000.0,Outlet
165,1/1/21,West,California,San Francisco,Men's Athletic Footwear,65.0,750.0,487500.0,121875.0,Outlet
166,1/2/21,West,California,San Francisco,Women's Street Footwear,65.0,750.0,487500.0,195000.0,Outlet
167,1/3/21,West,California,San Francisco,Women's Athletic Footwear,60.0,650.0,390000.0,136500.0,Outlet
168,1/4/21,West,California,San Francisco,Men's Apparel,65.0,550.0,357500.0,196625.0,Outlet
169,1/5/21,West,California,San Francisco,Women's Apparel,80.0,725.0,580000.0,116000.0,Outlet
170,1/6/21,West,California,San Francisco,Men's Street Footwear,60.0,975.0,585000.0,234000.0,Outlet
171,1/7/21,West,California,San Francisco,Men's Athletic Footwear,65.0,825.0,536250.0,134063.0,Outlet
172,1/8/21,West,California,San Francisco,Women's Street Footwear,65.0,825.0,536250.0,214500.0,Outlet
173,1/9/21,West,California,San Francisco,Women's Athletic Footwear,60.0,700.0,420000.0,147000.0,Outlet
174,1/10/21,West,California,San Francisco,Men's Apparel,65.0,575.0,373750.0,205563.0,Outlet
175,1/11/21,West,California,San Francisco,Women's Apparel,80.0,875.0,700000.0,140000.0,Outlet
176,1/12/21,West,California,San Francisco,Men's Street Footwear,60.0,1025.0,615000.0,215250.0,Outlet
177,1/13/21,West,California,San Francisco,Men's Athletic Footwear,65.0,875.0,568750.0,113750.0,Outlet
178,1/14/21,West,California,San Francisco,Women's Street Footwear,65.0,825.0,536250.0,187688.0,Outlet
179,1/15/21,West,California,San Francisco,Women's Athletic Footwear,60.0,725.0,435000.0,130500.0,Outlet
180,1/16/21,West,California,San Francisco,Men's Apparel,65.0,775.0,503750.0,251875.0,Outlet
181,1/17/21,West,California,San Francisco,Women's Apparel,80.0,775.0,620000.0,93000.0,Outlet
182,1/18/21,West,California,San Francisco,Men's Street Footwear,65.0,975.0,633750.0,221813.0,Outlet
183,1/19/21,West,California,San Francisco,Men's Athletic Footwear,70.0,925.0,647500.0,129500.0,Outlet
184,1/20/21,West,California,San Francisco,Women's Street Footwear,65.0,800.0,520000.0,182000.0,Outlet
185,1/21/21,West,California,San Francisco,Women's Athletic Footwear,65.0,750.0,487500.0,146250.0,Outlet
186,1/22/21,West,California,San Francisco,Men's Apparel,75.0,750.0,562500.0,281250.0,Outlet
187,1/23/21,West,California,San Francisco,Women's Apparel,80.0,725.0,580000.0,87000.0,Outlet
188,1/24/21,West,California,San Francisco,Men's Street Footwear,55.0,925.0,508750.0,152625.0,Outlet
189,1/25/21,West,California,San Francisco,Men's Athletic Footwear,60.0,925.0,555000.0,83250.0,Outlet
190,1/26/21,West,California,San Francisco,Women's Street Footwear,55.0,775.0,426250.0,127875.0,Outlet
191,1/27/21,West,California,San Francisco,Women's Athletic Footwear,55.0,725.0,398750.0,99688.0,Outlet
192,1/28/21,West,California,San Francisco,Men's Apparel,65.0,725.0,471250.0,212063.0,Outlet
193,1/29/21,West,California,San Francisco,Women's Apparel,70.0,775.0,542500.0,54250.0,Outlet
194,1/30/21,West,California,San Francisco,Men's Street Footwear,55.0,875.0,481250.0,144375.0,Outlet
195,1/31/21,West,California,San Francisco,Men's Athletic Footwear,60.0,875.0,525000.0,78750.0,Outlet
196,2/1/21,West,California,San Francisco,Women's Street Footwear,55.0,700.0,385000.0,115500.0,Outlet
197,2/2/21,West,California,San Francisco,Women's Athletic Footwear,55.0,675.0,371250.0,92813.0,Outlet
198,2/3/21,West,California,San Francisco,Men's Apparel,65.0,650.0,422500.0,190125.0,Outlet
199,2/4/21,West,California,San Francisco,Women's Apparel,70.0,700.0,490000.0,49000.0,Outlet
200,2/5/21,West,California,San Francisco,Men's Street Footwear,55.0,875.0,481250.0,144375.0,Outlet
201,2/6/21,West,California,San Francisco,Men's Athletic Footwear,60.0,875.0,525000.0,78750.0,Outlet
202,2/7/21,West,California,San Francisco,Women's Street Footwear,55.0,725.0,398750.0,119625.0,Outlet
203,2/8/21,West,California,San Francisco,Women's Athletic Footwear,55.0,700.0,385000.0,96250.0,Outlet
204,2/9/21,West,California,San Francisco,Men's Apparel,65.0,650.0,422500.0,190125.0,Outlet
205,2/10/21,West,California,San Francisco,Women's Apparel,70.0,775.0,542500.0,54250.0,Outlet
206,2/11/21,West,California,San Francisco,Men's Street Footwear,55.0,975.0,536250.0,160875.0,Outlet
207,2/12/21,West,California,San Francisco,Men's Athletic Footwear,60.0,975.0,585000.0,87750.0,Outlet
208,2/13/21,West,California,San Francisco,Women's Street Footwear,55.0,775.0,426250.0,127875.0,Outlet
209,2/14/21,West,California,San Francisco,Women's Athletic Footwear,55.0,775.0,426250.0,106563.0,Outlet
210,2/15/21,West,California,San Francisco,Men's Apparel,65.0,700.0,455000.0,204750.0,Outlet
211,2/16/21,West,California,San Francisco,Women's Apparel,70.0,800.0,560000.0,56000.0,Outlet
212,2/17/21,West,California,San Francisco,Men's Street Footwear,35.0,700.0,245000.0,98000.0,Outlet
213,2/18/21,West,California,San Francisco,Men's Athletic Footwear,45.0,700.0,315000.0,78750.0,Outlet
214,3/9/21,West,California,San Francisco,Women's Street Footwear,45.0,700.0,315000.0,126000.0,Outlet
215,3/10/21,West,California,San Francisco,Women's Athletic Footwear,45.0,550.0,247500.0,86625.0,Outlet
216,3/11/21,West,California,Los Angeles,Men's Apparel,50.0,500.0,250000.0,137500.0,Outlet
217,3/12/21,West,California,Los Angeles,Women's Apparel,45.0,700.0,315000.0,63000.0,Outlet
218,3/13/21,West,California,Los Angeles,Men's Street Footwear,35.0,750.0,262500.0,105000.0,Outlet
219,3/14/21,West,California,Los Angeles,Men's Athletic Footwear,45.0,650.0,292500.0,73125.0,Outlet
220,3/15/21,West,California,Los Angeles,Women's Street Footwear,45.0,675.0,303750.0,121500.0,Outlet
221,3/16/21,West,California,Los Angeles,Women's Athletic Footwear,45.0,525.0,236250.0,82688.0,Outlet
222,3/17/21,West,California,Los Angeles,Men's Apparel,50.0,450.0,225000.0,123750.0,Outlet
223,3/18/21,West,California,Los Angeles,Women's Apparel,45.0,650.0,292500.0,58500.0,Outlet
224,3/19/21,West,California,Los Angeles,Men's Street Footwear,35.0,800.0,280000.0,112000.0,Outlet
225,3/20/21,West,California,Los Angeles,Men's Athletic Footwear,45.0,650.0,292500.0,73125.0,Outlet
226,3/21/21,West,California,Los Angeles,Women's Street Footwear,45.0,650.0,292500.0,117000.0,Outlet
227,3/22/21,West,California,Los Angeles,Women's Athletic Footwear,45.0,550.0,247500.0,86625.0,Outlet
228,3/23/21,West,California,Los Angeles,Men's Apparel,50.0,425.0,212500.0,116875.0,Outlet
229,4/6/21,West,California,Los Angeles,Women's Apparel,45.0,625.0,281250.0,56250.0,Outlet
230,4/7/21,West,California,Los Angeles,Men's Street Footwear,45.0,800.0,360000.0,144000.0,Outlet
231,4/8/21,West,California,Los Angeles,Men's Athletic Footwear,50.0,600.0,300000.0,75000.0,Outlet
232,4/9/21,West,California,Los Angeles,Women's Street Footwear,50.0,625.0,312500.0,125000.0,Outlet
233,4/10/21,West,California,Los Angeles,Women's Athletic Footwear,45.0,525.0,236250.0,82688.0,Outlet
234,4/11/21,West,California,Los Angeles,Men's Apparel,50.0,425.0,212500.0,116875.0,Outlet
235,4/12/21,West,California,Los Angeles,Women's Apparel,65.0,600.0,390000.0,78000.0,Outlet
236,4/13/21,West,California,Los Angeles,Men's Street Footwear,45.0,800.0,360000.0,144000.0,Outlet
237,4/14/21,West,California,Los Angeles,Men's Athletic Footwear,50.0,650.0,325000.0,81250.0,Outlet
238,4/15/21,West,California,Los Angeles,Women's Street Footwear,50.0,650.0,325000.0,130000.0,Outlet
239,4/16/21,West,California,Los Angeles,Women's Athletic Footwear,45.0,550.0,247500.0,86625.0,Outlet
240,4/17/21,West,California,Los Angeles,Men's Apparel,50.0,450.0,225000.0,123750.0,Outlet
241,4/18/21,West,California,Los Angeles,Women's Apparel,65.0,625.0,406250.0,81250.0,Outlet
242,4/19/21,West,California,Los Angeles,Men's Street Footwear,45.0,900.0,405000.0,162000.0,Outlet
243,4/20/21,West,California,Los Angeles,Men's Athletic Footwear,50.0,750.0,375000.0,93750.0,Outlet
244,4/21/21,West,California,Los Angeles,Women's Street Footwear,50.0,750.0,375000.0,150000.0,Outlet
245,4/22/21,West,California,Los Angeles,Women's Athletic Footwear,45.0,625.0,281250.0,98438.0,Outlet
246,4/23/21,West,California,Los Angeles,Men's Apparel,50.0,500.0,250000.0,137500.0,Outlet
247,4/24/21,West,California,Los Angeles,Women's Apparel,65.0,800.0,520000.0,104000.0,Outlet
248,4/25/21,West,California,Los Angeles,Men's Street Footwear,45.0,950.0,427500.0,171000.0,Outlet
249,4/26/21,West,California,Los Angeles,Men's Athletic Footwear,50.0,800.0,400000.0,100000.0,Outlet
250,4/27/21,West,California,Los Angeles,Women's Street Footwear,50.0,750.0,375000.0,150000.0,Outlet
251,4/28/21,West,California,Los Angeles,Women's Athletic Footwear,45.0,650.0,292500.0,102375.0,Outlet
252,4/29/21,West,California,Los Angeles,Men's Apparel,50.0,700.0,350000.0,192500.0,Outlet
253,4/30/21,West,California,Los Angeles,Women's Apparel,65.0,700.0,455000.0,91000.0,Outlet
254,5/1/21,West,California,Los Angeles,Men's Street Footwear,50.0,900.0,450000.0,180000.0,Outlet
255,5/2/21,West,California,Los Angeles,Men's Athletic Footwear,55.0,850.0,467500.0,116875.0,Outlet
256,5/3/21,West,California,Los Angeles,Women's Street Footwear,50.0,725.0,362500.0,145000.0,Outlet
257,5/4/21,West,California,Los Angeles,Women's Athletic Footwear,50.0,675.0,337500.0,118125.0,Outlet
258,5/5/21,West,California,Los Angeles,Men's Apparel,60.0,675.0,405000.0,222750.0,Outlet
259,5/6/21,West,California,Los Angeles,Women's Apparel,65.0,650.0,422500.0,84500.0,Outlet
260,5/7/21,West,California,Los Angeles,Men's Street Footwear,50.0,850.0,425000.0,170000.0,Outlet
261,5/8/21,West,California,Los Angeles,Men's Athletic Footwear,55.0,850.0,467500.0,116875.0,Outlet
262,5/9/21,West,California,Los Angeles,Women's Street Footwear,50.0,700.0,350000.0,140000.0,Outlet
263,5/10/21,West,California,Los Angeles,Women's Athletic Footwear,50.0,650.0,325000.0,113750.0,Outlet
264,5/11/21,West,California,Los Angeles,Men's Apparel,60.0,650.0,390000.0,214500.0,Outlet
265,5/12/21,West,California,Los Angeles,Women's Apparel,65.0,700.0,455000.0,91000.0,Outlet
266,5/13/21,West,California,Los Angeles,Men's Street Footwear,50.0,800.0,400000.0,160000.0,Outlet
267,5/14/21,West,California,Los Angeles,Men's Athletic Footwear,55.0,800.0,440000.0,110000.0,Outlet
268,5/15/21,West,California,Los Angeles,Women's Street Footwear,50.0,650.0,325000.0,130000.0,Outlet
